tipo_muerte;provincia;arma;Anio
SICARIATO;AZUAY;ARMA BLANCA;2023
ASESINATO;LOS RIOS;ARMA DE FUEGO;2014
ASESINATO;PICHINCHA;ASFIXIA;2024
ASESINATO;AZUAY;ARMA DE FUEGO;2021
SICARIATO;LOS RIOS;ARMA DE FUEGO;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
FEMICIDIO;SANTO DOMINGO DE LOS TSACHILAS;ARMA BLANCA;2017
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2025
SICARIATO;MANABI;ARMA BLANCA;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
FEMICIDIO;ESMERALDAS;ARMA BLANCA;2020
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2018
HOMICIDIO;MANABI;ARMA DE FUEGO;2021
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2022
HOMICIDIO;MANABI;ARMA DE FUEGO;2015
ASESINATO;AZUAY;ARMA DE FUEGO;2024
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;CONTUNDENTE;2016
SICARIATO;MANABI;ARMA DE FUEGO;2020
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2024
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
HOMICIDIO;PICHINCHA;CONTUNDENTE;2017
SICARIATO;PICHINCHA;CONTUNDENTE;2016
ASESINATO;SUCUMBIOS;ARMA DE FUEGO;2014
SICARIATO;SANTA ELENA;ARMA BLANCA;2025
HOMICIDIO;GUAYAS;CONTUNDENTE;2014
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;EL ORO;ARMA DE FUEGO;2021
ASESINATO;GUAYAS;ARMA DE FUEGO;2018
HOMICIDIO;MANABI;ARMA DE FUEGO;2021
HOMICIDIO;ESMERALDAS;ARMA BLANCA;2019
HOMICIDIO;MANABI;ARMA DE FUEGO;2016
ASESINATO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;CHIMBORAZO;CONTUNDENTE;2016
ASESINATO;GUAYAS;ARMA BLANCA;2014
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;PICHINCHA;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ASFIXIA;2018
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2021
SICARIATO;LOS RIOS;ARMA BLANCA;2020
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2024
ASESINATO;EL ORO;ARMA DE FUEGO;2023
SICARIATO;PICHINCHA;ARMA DE FUEGO;2025
ASESINATO;AZUAY;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;LOS RIOS;CONTUNDENTE;2017
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2021
HOMICIDIO;MANABI;ARMA DE FUEGO;2021
ASESINATO;LOS RIOS;ARMA BLANCA;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
FEMICIDIO;GUAYAS;CONTUNDENTE;2025
ASESINATO;IMBABURA;ARMA DE FUEGO;2015
HOMICIDIO;LOS RIOS;ASFIXIA;2016
ASESINATO;SANTA ELENA;CONTUNDENTE;2024
SICARIATO;EL ORO;ARMA DE FUEGO;2021
SICARIATO;SANTA ELENA;ARMA DE FUEGO;2024
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;LOS RIOS;ARMA DE FUEGO;2016
ASESINATO;CHIMBORAZO;ARMA BLANCA;2014
SICARIATO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA BLANCA;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2014
HOMICIDIO;MANABI;ARMA DE FUEGO;2021
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2014
HOMICIDIO;MANABI;ARMA BLANCA;2025
SICARIATO;GUAYAS;OTRA;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
SICARIATO;EL ORO;ARMA DE FUEGO;2023
ASESINATO;MANABI;ARMA DE FUEGO;2020
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2024
ASESINATO;PICHINCHA;ARMA DE FUEGO;2020
SICARIATO;PICHINCHA;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
HOMICIDIO;TUNGURAHUA;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;ESMERALDAS;ARMA BLANCA;2021
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;EL ORO;ARMA BLANCA;2014
ASESINATO;LOS RIOS;ARMA DE FUEGO;2025
SICARIATO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;SANTA ELENA;OTRA;2017
HOMICIDIO;AZUAY;ARMA BLANCA;2021
HOMICIDIO;AZUAY;ARMA BLANCA;2020
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;PICHINCHA;ARMA DE FUEGO;2019
SICARIATO;PICHINCHA;CONTUNDENTE;2025
ASESINATO;GUAYAS;ARMA BLANCA;2019
ASESINATO;GUAYAS;CONTUNDENTE;2025
ASESINATO;LOS RIOS;ARMA DE FUEGO;2023
SICARIATO;PICHINCHA;ARMA DE FUEGO;2017
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;ARMA BLANCA;2024
HOMICIDIO;TUNGURAHUA;ARMA DE FUEGO;2021
ASESINATO;LOS RIOS;ARMA DE FUEGO;2016
SICARIATO;PICHINCHA;ARMA DE FUEGO;2022
ASESINATO;SANTA ELENA;ARMA BLANCA;2024
HOMICIDIO;SANTO DOMINGO DE LOS TSACHILAS;ARMA BLANCA;2015
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
SICARIATO;MANABI;CONTUNDENTE;2023
ASESINATO;PICHINCHA;ARMA DE FUEGO;2024
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2014
SICARIATO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;MANABI;ARMA DE FUEGO;2017
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;LOJA;ARMA DE FUEGO;2017
SICARIATO;MANABI;ARMA BLANCA;2015
ASESINATO;PICHINCHA;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;MANABI;ASFIXIA;2020
SICARIATO;EL ORO;ARMA DE FUEGO;2015
ASESINATO;EL ORO;ARMA DE FUEGO;2025
ASESINATO;LOS RIOS;ARMA DE FUEGO;2015
SICARIATO;GUAYAS;ARMA DE FUEGO;2024
HOMICIDIO;MANABI;ARMA BLANCA;2017
ASESINATO;AZUAY;ARMA DE FUEGO;2020
ASESINATO;ESMERALDAS;CONTUNDENTE;2023
HOMICIDIO;PICHINCHA;ARMA BLANCA;2019
ASESINATO;LOS RIOS;ASFIXIA;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2014
FEMICIDIO;LOS RIOS;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;OTRA;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2021
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2016
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;PICHINCHA;ARMA DE FUEGO;2025
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;MANABI;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ARMA BLANCA;2018
FEMICIDIO;AZUAY;ARMA DE FUEGO;2022
ASESINATO;LOS RIOS;ARMA DE FUEGO;2016
ASESINATO;PICHINCHA;ARMA DE FUEGO;2018
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;LOS RIOS;ARMA DE FUEGO;2017
ASESINATO;GUAYAS;ASFIXIA;2021
ASESINATO;ESMERALDAS;ARMA BLANCA;2019
SICARIATO;GUAYAS;ARMA BLANCA;2021
ASESINATO;GUAYAS;ASFIXIA;2023
ASESINATO;PICHINCHA;ARMA DE FUEGO;2017
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2023
SICARIATO;PICHINCHA;ARMA DE FUEGO;2020
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2022
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2025
ASESINATO;ESMERALDAS;ARMA BLANCA;2018
ASESINATO;LOS RIOS;ARMA DE FUEGO;2020
HOMICIDIO;MANABI;ARMA BLANCA;2018
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2015
SICARIATO;PICHINCHA;ARMA DE FUEGO;2022
FEMICIDIO;GUAYAS;ARMA BLANCA;2022
SICARIATO;MANABI;ARMA DE FUEGO;2022
ASESINATO;MANABI;ARMA DE FUEGO;2017
HOMICIDIO;MANABI;ARMA DE FUEGO;2014
ASESINATO;TUNGURAHUA;ARMA DE FUEGO;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;MANABI;ARMA DE FUEGO;2025
ASESINATO;MANABI;ARMA DE FUEGO;2024
ASESINATO;PICHINCHA;CONTUNDENTE;2014
SICARIATO;GUAYAS;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;PICHINCHA;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;ARMA BLANCA;2019
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2014
HOMICIDIO;AZUAY;ARMA DE FUEGO;2016
HOMICIDIO;GUAYAS;ASFIXIA;2022
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2017
ASESINATO;PICHINCHA;ARMA DE FUEGO;2024
ASESINATO;PICHINCHA;ARMA DE FUEGO;2017
HOMICIDIO;GUAYAS;ARMA BLANCA;2017
HOMICIDIO;MANABI;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2019
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2021
ASESINATO;PICHINCHA;ARMA DE FUEGO;2023
SICARIATO;MANABI;ARMA BLANCA;2021
HOMICIDIO;AZUAY;ARMA DE FUEGO;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ARMA DE FUEGO;2023
SICARIATO;AZUAY;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ARMA DE FUEGO;2016
SICARIATO;MANABI;ASFIXIA;2021
SICARIATO;GUAYAS;ASFIXIA;2021
ASESINATO;MANABI;ARMA DE FUEGO;2022
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2025
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2014
ASESINATO;PICHINCHA;ARMA DE FUEGO;2017
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2025
HOMICIDIO;GUAYAS;ARMA BLANCA;2023
HOMICIDIO;PICHINCHA;ARMA BLANCA;2019
FEMICIDIO;PICHINCHA;ARMA DE FUEGO;2021
ASESINATO;LOS RIOS;OTRA;2024
SICARIATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;ESMERALDAS;ARMA BLANCA;2015
SICARIATO;LOS RIOS;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2017
ASESINATO;PICHINCHA;ARMA BLANCA;2023
FEMICIDIO;MANABI;ARMA DE FUEGO;2018
ASESINATO;ESMERALDAS;ARMA BLANCA;2024
FEMICIDIO;AZUAY;ARMA BLANCA;2020
ASESINATO;LOS RIOS;ARMA DE FUEGO;2016
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2021
HOMICIDIO;PICHINCHA;CONTUNDENTE;2020
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2015
ASESINATO;PICHINCHA;ARMA DE FUEGO;2019
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ARMA DE FUEGO;2025
SICARIATO;TUNGURAHUA;ARMA DE FUEGO;2017
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2019
HOMICIDIO;EL ORO;CONTUNDENTE;2023
HOMICIDIO;GUAYAS;ARMA BLANCA;2014
SICARIATO;GUAYAS;ARMA DE FUEGO;2014
ASESINATO;LOJA;OTRA;2014
ASESINATO;EL ORO;ARMA BLANCA;2016
ASESINATO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;AZUAY;ARMA DE FUEGO;2024
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2018
ASESINATO;LOS RIOS;ARMA DE FUEGO;2015
ASESINATO;MANABI;ARMA DE FUEGO;2016
SICARIATO;LOS RIOS;OTRA;2014
ASESINATO;LOS RIOS;ARMA DE FUEGO;2020
ASESINATO;LOS RIOS;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA BLANCA;2018
HOMICIDIO;MANABI;ARMA DE FUEGO;2016
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2023
HOMICIDIO;GUAYAS;CONTUNDENTE;2025
SICARIATO;LOS RIOS;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA BLANCA;2015
ASESINATO;SANTA ELENA;ARMA DE FUEGO;2019
ASESINATO;MANABI;ARMA DE FUEGO;2018
HOMICIDIO;MANABI;ARMA DE FUEGO;2025
ASESINATO;EL ORO;ARMA DE FUEGO;2024
ASESINATO;LOS RIOS;ARMA DE FUEGO;2017
ASESINATO;PICHINCHA;ARMA DE FUEGO;2017
SICARIATO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;ARMA BLANCA;2019
ASESINATO;PICHINCHA;ARMA DE FUEGO;2023
HOMICIDIO;SANTA ELENA;ARMA DE FUEGO;2021
ASESINATO;GUAYAS;CONTUNDENTE;2015
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;MANABI;ARMA DE FUEGO;2022
FEMICIDIO;AZUAY;ARMA DE FUEGO;2022
HOMICIDIO;PICHINCHA;ARMA BLANCA;2019
ASESINATO;MANABI;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;MANABI;ARMA DE FUEGO;2021
ASESINATO;LOS RIOS;ARMA BLANCA;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2022
SICARIATO;LOS RIOS;ARMA BLANCA;2016
ASESINATO;ESMERALDAS;ARMA BLANCA;2015
ASESINATO;PICHINCHA;ASFIXIA;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;EL ORO;ARMA DE FUEGO;2021
HOMICIDIO;EL ORO;ARMA DE FUEGO;2015
ASESINATO;PICHINCHA;ARMA BLANCA;2025
ASESINATO;GUAYAS;CONTUNDENTE;2017
SICARIATO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2016
ASESINATO;LOS RIOS;ARMA DE FUEGO;2025
ASESINATO;AZUAY;ARMA BLANCA;2020
ASESINATO;PICHINCHA;CONTUNDENTE;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
HOMICIDIO;GUAYAS;ARMA BLANCA;2017
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2017
ASESINATO;LOS RIOS;ARMA BLANCA;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
HOMICIDIO;MANABI;ARMA DE FUEGO;2019
HOMICIDIO;GUAYAS;ARMA BLANCA;2019
ASESINATO;GUAYAS;OTRA;2025
ASESINATO;PICHINCHA;OTRA;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
SICARIATO;PICHINCHA;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2020
SICARIATO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;PICHINCHA;ASFIXIA;2019
ASESINATO;PICHINCHA;ARMA BLANCA;2017
HOMICIDIO;GUAYAS;ARMA BLANCA;2015
ASESINATO;MANABI;ARMA BLANCA;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;GUAYAS;ARMA BLANCA;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;MANABI;ARMA DE FUEGO;2025
ASESINATO;GUAYAS;ARMA BLANCA;2016
SICARIATO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;CONTUNDENTE;2015
ASESINATO;ESMERALDAS;ARMA BLANCA;2021
SICARIATO;GUAYAS;ARMA DE FUEGO;2019
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2023
ASESINATO;LOS RIOS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;MANABI;ARMA DE FUEGO;2023
ASESINATO;EL ORO;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;CONTUNDENTE;2020
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2022
HOMICIDIO;IMBABURA;ARMA DE FUEGO;2014
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2022
ASESINATO;PICHINCHA;ARMA DE FUEGO;2019
SICARIATO;GUAYAS;ARMA DE FUEGO;2017
HOMICIDIO;PICHINCHA;OTRA;2021
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2016
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2025
SICARIATO;PICHINCHA;ARMA BLANCA;2020
ASESINATO;GUAYAS;ARMA BLANCA;2016
ASESINATO;AZUAY;ARMA BLANCA;2019
HOMICIDIO;MANABI;ARMA DE FUEGO;2023
ASESINATO;PICHINCHA;ARMA DE FUEGO;2021
ASESINATO;GUAYAS;ARMA DE FUEGO;2014
HOMICIDIO;GUAYAS;ARMA BLANCA;2014
SICARIATO;LOS RIOS;ARMA BLANCA;2019
ASESINATO;GUAYAS;ARMA BLANCA;2019
SICARIATO;ESMERALDAS;ARMA BLANCA;2016
SICARIATO;PICHINCHA;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ASFIXIA;2015
HOMICIDIO;SANTO DOMINGO DE LOS TSACHILAS;ASFIXIA;2025
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2016
SICARIATO;LOS RIOS;ASFIXIA;2016
HOMICIDIO;EL ORO;ARMA DE FUEGO;2020
SICARIATO;MANABI;ASFIXIA;2016
ASESINATO;MANABI;ARMA DE FUEGO;2017
ASESINATO;LOS RIOS;OTRA;2019
FEMICIDIO;MANABI;ARMA BLANCA;2016
SICARIATO;MANABI;ARMA DE FUEGO;2024
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;LOS RIOS;ARMA DE FUEGO;2015
SICARIATO;TUNGURAHUA;ARMA DE FUEGO;2020
ASESINATO;PICHINCHA;ARMA BLANCA;2020
HOMICIDIO;MANABI;ARMA DE FUEGO;2023
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2015
ASESINATO;SANTA ELENA;ARMA DE FUEGO;2018
ASESINATO;GUAYAS;ASFIXIA;2020
FEMICIDIO;GUAYAS;CONTUNDENTE;2015
SICARIATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
HOMICIDIO;PICHINCHA;CONTUNDENTE;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;PICHINCHA;ARMA DE FUEGO;2014
ASESINATO;PICHINCHA;ARMA DE FUEGO;2014
ASESINATO;MANABI;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;EL ORO;ARMA DE FUEGO;2019
ASESINATO;PICHINCHA;ARMA BLANCA;2018
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2023
SICARIATO;MANABI;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;PICHINCHA;ARMA BLANCA;2022
ASESINATO;MANABI;ARMA DE FUEGO;2021
HOMICIDIO;AZUAY;ARMA DE FUEGO;2020
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2022
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;ASFIXIA;2015
SICARIATO;TUNGURAHUA;ARMA DE FUEGO;2016
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;AZUAY;ARMA DE FUEGO;2025
SICARIATO;MANABI;ARMA DE FUEGO;2020
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2014
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
SICARIATO;LOS RIOS;CONTUNDENTE;2023
HOMICIDIO;ESMERALDAS;ARMA BLANCA;2023
ASESINATO;EL ORO;ARMA DE FUEGO;2019
ASESINATO;MANABI;ARMA DE FUEGO;2023
HOMICIDIO;MANABI;ARMA DE FUEGO;2016
ASESINATO;EL ORO;ARMA DE FUEGO;2020
ASESINATO;PICHINCHA;ARMA DE FUEGO;2025
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2019
HOMICIDIO;EL ORO;ASFIXIA;2021
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2019
SICARIATO;PICHINCHA;ARMA DE FUEGO;2017
SICARIATO;LOS RIOS;ARMA BLANCA;2021
ASESINATO;ESMERALDAS;ARMA BLANCA;2022
SICARIATO;GUAYAS;ARMA BLANCA;2020
SICARIATO;GUAYAS;ARMA DE FUEGO;2014
ASESINATO;GUAYAS;CONTUNDENTE;2014
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;MANABI;ARMA DE FUEGO;2020
ASESINATO;PICHINCHA;ASFIXIA;2019
ASESINATO;MANABI;ARMA DE FUEGO;2021
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2018
SICARIATO;GUAYAS;ARMA BLANCA;2020
HOMICIDIO;EL ORO;ARMA DE FUEGO;2017
ASESINATO;MANABI;ARMA BLANCA;2018
SICARIATO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2023
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2018
ASESINATO;EL ORO;ARMA DE FUEGO;2020
SICARIATO;LOS RIOS;ARMA DE FUEGO;2018
FEMICIDIO;GUAYAS;ASFIXIA;2015
HOMICIDIO;MANABI;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;OTRA;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA BLANCA;2024
SICARIATO;ESMERALDAS;ARMA DE FUEGO;2014
ASESINATO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;SUCUMBIOS;ARMA DE FUEGO;2021
HOMICIDIO;LOS RIOS;OTRA;2020
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2017
SICARIATO;ESMERALDAS;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
HOMICIDIO;LOS RIOS;CONTUNDENTE;2018
HOMICIDIO;EL ORO;ARMA DE FUEGO;2024
ASESINATO;LOS RIOS;ARMA BLANCA;2017
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2019
SICARIATO;PICHINCHA;ARMA DE FUEGO;2015
SICARIATO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;PICHINCHA;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
FEMICIDIO;EL ORO;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;LOS RIOS;ARMA BLANCA;2017
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2021
ASESINATO;MANABI;ASFIXIA;2020
ASESINATO;GUAYAS;ARMA BLANCA;2020
HOMICIDIO;EL ORO;ARMA DE FUEGO;2014
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2014
ASESINATO;EL ORO;ARMA DE FUEGO;2025
ASESINATO;MANABI;ARMA BLANCA;2022
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2018
SICARIATO;GUAYAS;OTRA;2022
ASESINATO;SUCUMBIOS;ARMA BLANCA;2019
SICARIATO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2016
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;MANABI;ARMA DE FUEGO;2014
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2024
HOMICIDIO;MANABI;ARMA DE FUEGO;2022
ASESINATO;MANABI;ARMA DE FUEGO;2015
ASESINATO;PICHINCHA;ARMA DE FUEGO;2020
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ARMA DE FUEGO;2018
ASESINATO;MANABI;ARMA BLANCA;2023
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2015
HOMICIDIO;PICHINCHA;ARMA BLANCA;2015
ASESINATO;TUNGURAHUA;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2015
ASESINATO;ESMERALDAS;ARMA BLANCA;2015
ASESINATO;MANABI;ASFIXIA;2018
ASESINATO;PICHINCHA;ARMA DE FUEGO;2018
ASESINATO;EL ORO;ARMA DE FUEGO;2014
ASESINATO;LOS RIOS;ARMA BLANCA;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2014
ASESINATO;PICHINCHA;ARMA DE FUEGO;2019
SICARIATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ARMA BLANCA;2020
HOMICIDIO;EL ORO;ARMA DE FUEGO;2025
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2016
SICARIATO;GUAYAS;ARMA DE FUEGO;2016
ASESINATO;LOS RIOS;ARMA DE FUEGO;2023
SICARIATO;MANABI;ARMA BLANCA;2019
ASESINATO;TUNGURAHUA;CONTUNDENTE;2025
ASESINATO;EL ORO;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
HOMICIDIO;MANABI;ASFIXIA;2025
ASESINATO;EL ORO;ARMA DE FUEGO;2024
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2023
